V1	probe_id
274	NR4A1	202340_x_at
275	PRPS2	203401_at
277	KCTD9	218823_s_at
278	MIS18BP1	206500_s_at
279	SUMO3	200739_s_at
282	UBTF	202692_s_at
283	TRIM23	204732_s_at
284	POLD1	203422_at
285	GTSE1	204315_s_at
286	HIRIP3	204504_s_at
287	ANXA8L1	203074_at
288	PARPBP	220060_s_at
289	DEPDC1	220295_x_at
291	BLMH	202179_at
292	ALDH3A2	202053_s_at
293	FANCA	203805_s_at
294	ASPM	219918_s_at
295	MSH2	209421_at
296	DSCC1	216646_at
297	RBMX	213762_x_at
298	ID2	201565_s_at
299	SRC	213324_at
300	SEMA3C	203788_s_at
301	ACOT2	202982_s_at
302	DTYMK	203270_at
303	SIM2	206558_at
304	TYMS	202589_at
306	ARNT2	202986_at
307	EPB41L2	201718_s_at
308	DGLUCY	218298_s_at
309	CDC20	202870_s_at
310	PDE8A	212521_s_at
311	RHOB	212099_at
312	NUP188	212691_at
314	ARHGAP19	212738_at
315	PRELID3B	217851_s_at
316	PPP1R15A	202014_at
317	WDR41	218055_s_at
318	DDX42	201788_at
319	GABRQ	220886_at
320	CAPZA1	208374_s_at
322	PRIM1	205053_at
323	PARP1	208644_at
324	NCBP1	209519_at
325	ARHGEF40	220326_s_at
326	COL4A1	211980_at
327	SNRPB	208821_at
328	PLXND1	212235_at
329	TUBGCP3	203690_at
330	EMP2	204975_at
331	SIRPA	202895_s_at
332	DPYSL3	201430_s_at
334	PRKCE	206248_at
335	TRA2B	200892_s_at
336	SUCLG2	212459_x_at
337	THAP12	209323_at
338	DHX9	202420_s_at
341	BAZ1A	217985_s_at
342	PIMREG	221591_s_at
343	FAM120A	200767_s_at
344	SLC1A5	208916_at
345	RPL15	217266_at
346	AURKA	204092_s_at
347	SHMT1	209980_s_at
348	TONSL	207137_at
349	ZDHHC6	218249_at
350	NOL11	221970_s_at
351	CENPE	205046_at
352	TOR1AIP1	212408_at
353	PEG10	212092_at
354	CDCA8	221520_s_at
355	MYO19	219320_at
356	HSPBP1	202415_s_at
358	FGFR4	204579_at
360	POLE2	205909_at
361	CDK5RAP2	220935_s_at
362	ORC3	210028_s_at
363	RFC2	1053_at
365	DHTKD1	209916_at
366	RMI1	218979_at
367	B3GNT2	219326_s_at
368	HNRNPDL	201993_x_at
369	ZBED1	203043_at
370	TBC1D31	214061_at
371	FUS	200959_at
372	CBX6	202047_s_at
373	SPDL1	221685_s_at
374	PRPF6	208879_x_at
375	POLE	216026_s_at
376	CCN1	201289_at
377	CNTRL	205642_at
378	ASF1B	218115_at
379	SRSF2	200753_x_at
380	CDK8	204831_at
381	RBBP8	203344_s_at
382	VCAN	204619_s_at
383	SMTN	207390_s_at
384	SMARCA5	202303_x_at
385	CKS1B	201897_s_at
386	HAT1	203138_at
387	RALBP1	202844_s_at
388	CCNE2	205034_at
389	DYRK3	210151_s_at
390	MYO5C	218966_at
391	SNRPA1	206055_s_at
392	PRPF4	209161_at
393	NDC80	204162_at
394	SCML2	206147_x_at
395	PKMYT1	204267_x_at
396	POLR1E	218997_at
397	LDLRAD4	207996_s_at
398	CYP1B1	202434_s_at
402	S1PR5	221417_x_at
403	CENPJ	220885_s_at
404	GGH	203560_at
406	CTNNAL1	202468_s_at
407	STIL	205339_at
409	ATP10A	214255_at
412	TUBG1	201714_at
413	PALS2	205429_s_at
414	GNG4	205184_at
415	SLC29A1	201801_s_at
417	SMARCC2	201320_at
418	FAM120C	220685_at
420	SART3	200069_at
421	MTR	203774_at
422	MAP2K4	203265_s_at
424	IL6ST	204863_s_at
425	PARP2	204752_x_at
427	ID4	209291_at
428	HR	210086_at
429	NCAPD3	212789_at
430	CEP152	215170_s_at
432	CBX5	209715_at
433	PDLIM7	203369_x_at
434	PHACTR4	219235_s_at
436	FMNL1	204789_at
437	TCIM	218541_s_at
439	GPR107	211977_at
440	EXOSC2	209527_at
441	BICC1	213429_at
443	CASP2	208050_s_at
445	NNT	202783_at
446	ARHGAP33	213827_at
447	RBBP4	210371_s_at
448	BAG2	209406_at
