V1	probe_id
283	PXDC1	212923_s_at
284	SEC24D	202375_at
285	ACSL3	201660_at
286	F11R	221664_s_at
287	ABHD3	213017_at
291	SLC22A5	205074_at
292	LGALS3	208949_s_at
293	DSC3	206032_at
294	FRMD8	210043_at
295	HMGCS1	205822_s_at
296	AGAP1	204066_s_at
297	MAPK8IP3	213177_at
300	SEC24A	212900_at
301	ABL2	206411_s_at
302	SLC39A7	202667_s_at
303	WWTR1	202132_at
304	KIF3C	203389_at
305	SFN	209260_at
306	DUSP6	208891_at
307	GRN	200678_x_at
308	TMCC1	213349_at
309	LRP12	219631_at
310	STRA6	221701_s_at
311	CACNA1G	207869_s_at
313	RAB15	221810_at
314	SCARA3	219416_at
315	KDSR	202419_at
316	SHC1	201469_s_at
317	PRRG1	205618_at
318	ARL6IP5	200760_s_at
320	FOSL2	205409_at
321	GFPT1	202721_s_at
322	PGAP6	221882_s_at
324	PKP2	207717_s_at
325	PLAAT3	209581_at
326	CHST3	208252_s_at
327	CD151	204306_s_at
328	CMPK1	217870_s_at
329	S100A10	200872_at
330	EVPL	204503_at
331	NEDD4	213012_at
333	SLC25A37	218136_s_at
335	RNF13	201779_s_at
337	PRKX	204060_s_at
338	HSPG2	201654_s_at
339	TFPI	209676_at
340	HOXB6	205365_at
341	ENC1	201340_s_at
342	GIPC1	207525_s_at
343	FUT8	203988_s_at
344	MAGEH1	218573_at
345	TPD52L1	203786_s_at
347	LRPAP1	201186_at
348	SERPINB1	212268_at
349	LRP1	200784_s_at
350	FHL2	202949_s_at
351	BHLHE40	201169_s_at
352	MAPRE3	203841_x_at
353	ATP8B1	214594_x_at
354	SLC17A5	221041_s_at
355	IL18	206295_at
356	NEU1	208926_at
357	C1R	212067_s_at
359	SLC12A7	218066_at
360	TIGAR	219099_at
361	KANK1	213005_s_at
364	STAT3	208991_at
365	DOCK10	215151_at
366	PLSCR4	218901_at
367	SREBF1	202308_at
368	DHRS7	201789_at
369	SLCO3A1	210542_s_at
370	IQSEC2	214819_at
371	PLEKHB2	201410_at
373	ATXN1	203231_s_at
374	IL1RAP	205227_at
375	HSD17B10	202282_at
376	YIPF2	219075_at
377	CDH17	209847_at
378	MATN2	202350_s_at
379	TSC22D4	208104_s_at
380	KDM4A	203204_s_at
382	ZNF780B	214899_at
383	CBLB	208348_s_at
385	AEN	219361_s_at
387	AACS	218434_s_at
388	ANXA13	208323_s_at
389	CLCN6	203950_s_at
390	APOBEC3C	209584_x_at
391	INHBB	205258_at
394	MSN	200600_at
395	CASK	207620_s_at
397	AREL1	202128_at
399	CEACAM1	206576_s_at
401	PIP5K1C	212518_at
402	RAB40B	204547_at
403	COL6A1	212091_s_at
406	EFCAB14	201775_s_at
407	ASAH1	210979_at
408	LY6E	202145_at
409	HGD	205221_at
411	VTN	204534_at
412	ANKRD46	212731_at
413	TSPAN9	205665_at
414	FDFT1	208647_at
415	OPTN	202073_at
418	BET1L	220470_at
419	MAPK6	207121_s_at
420	PARD3	210094_s_at
422	SPG7	202104_s_at
423	PDIA5	203857_s_at
425	SLC35A2	207439_s_at
426	SYT1	203998_s_at
427	ATP6V0D1	212041_at
428	PLCB4	203895_at
429	COQ10B	219397_at
430	UPK3B	206658_at
431	EPHA2	203499_at
432	APOL2	221013_s_at
433	ABCA12	215465_at
434	FXYD5	217655_at
435	PHLPP2	213407_at
436	ELOVL6	204256_at
437	L1CAM	204584_at
438	NT5E	203939_at
439	LYRM1	203897_at
440	ZBTB7A	213299_at
442	SLC31A1	203971_at
444	DLGAP4	202570_s_at
446	STK10	203047_at
448	PARM1	204687_at
450	SH3BGRL3	221269_s_at
451	DNASE1L1	203912_s_at
452	STK17A	202693_s_at
454	ST6GALNAC4	220937_s_at
455	RNF24	204668_at
456	TMEM184B	202027_at
457	DESI1	212527_at
458	NPC1	202679_at
459	STS	203767_s_at
460	GDF11	216854_at
461	TRIM29	202504_at
462	SLC7A7	204588_s_at
463	ZMAT3	219628_at
466	RTL8C	201828_x_at
467	INPP4B	205376_at
468	ATP7B	204624_at
469	MFAP3L	205442_at
471	AKAP6	205359_at
472	STX6	212799_at
473	ACACA	212186_at
475	ABCC5	209380_s_at
477	TSPYL2	218012_at
478	LIMK1	204356_at
479	MLXIP	202519_at
481	STEAP1	205542_at
482	DDA1	218260_at
484	AHNAK2	212992_at
485	AK1	202587_s_at
487	TCEAL9	217975_at
488	GFRA1	205696_s_at
490	ABCA3	204343_at
491	CITED2	207980_s_at
492	S100A3	206027_at
493	CBR4	213626_at
494	MFSD1	218109_s_at
497	DENND5B	215058_at
498	YPEL5	217783_s_at
499	SPATA2	204433_s_at
502	LYST	203518_at
504	OSBPL2	209221_s_at
505	MEST	202016_at
506	SLC27A2	205768_s_at
507	APIP	218698_at
508	PDE7B	220343_at
509	SLC12A4	209400_at
