V1	probe_id
277	QARS1	217846_at
278	ZNF395	218149_s_at
279	MKI67	212020_s_at
280	SRSF3	202899_s_at
281	KYNU	204385_at
282	AURKB	209464_at
283	NPTN	202228_s_at
285	FANCG	203564_at
286	NR4A1	202340_x_at
287	PRPS2	203401_at
289	KCTD9	218823_s_at
290	MIS18BP1	206500_s_at
291	SUMO3	200739_s_at
295	UBTF	202692_s_at
296	TRIM23	204732_s_at
297	POLD1	203422_at
298	GTSE1	204315_s_at
299	HIRIP3	204504_s_at
300	ANXA8L1	203074_at
301	PARPBP	220060_s_at
302	DEPDC1	220295_x_at
304	BLMH	202179_at
305	ALDH3A2	202053_s_at
306	FANCA	203805_s_at
307	ASPM	219918_s_at
308	MSH2	209421_at
309	DSCC1	216646_at
310	RBMX	213762_x_at
311	ID2	201565_s_at
312	SRC	213324_at
313	SEMA3C	203788_s_at
314	ACOT2	202982_s_at
315	DTYMK	203270_at
316	SIM2	206558_at
317	TYMS	202589_at
319	ARNT2	202986_at
320	EPB41L2	201718_s_at
321	DGLUCY	218298_s_at
322	CDC20	202870_s_at
323	PDE8A	212521_s_at
324	RHOB	212099_at
325	NUP188	212691_at
327	ARHGAP19	212738_at
328	PRELID3B	217851_s_at
329	PPP1R15A	202014_at
330	WDR41	218055_s_at
331	DDX42	201788_at
332	CAPZA1	208374_s_at
334	PRIM1	205053_at
335	APOBEC3B	206632_s_at
336	PARP1	208644_at
337	NCBP1	209519_at
338	ARHGEF40	220326_s_at
339	COL4A1	211980_at
340	SNRPB	208821_at
341	PLXND1	212235_at
342	TUBGCP3	203690_at
343	EMP2	204975_at
344	SIRPA	202895_s_at
345	DPYSL3	201430_s_at
346	E2F2	207042_at
348	PRKCE	206248_at
349	TRA2B	200892_s_at
350	SUCLG2	212459_x_at
351	THAP12	209323_at
352	DHX9	202420_s_at
355	BAZ1A	217985_s_at
356	PIMREG	221591_s_at
357	FAM120A	200767_s_at
358	SLC1A5	208916_at
359	RPL15	217266_at
360	AURKA	204092_s_at
361	SHMT1	209980_s_at
362	TONSL	207137_at
363	ZDHHC6	218249_at
364	NOL11	221970_s_at
365	CENPE	205046_at
366	NOTCH3	203237_s_at
367	TOR1AIP1	212408_at
368	PEG10	212092_at
369	CDCA8	221520_s_at
370	MYO19	219320_at
372	HSPBP1	202415_s_at
374	FGFR4	204579_at
376	POLE2	205909_at
377	CDK5RAP2	220935_s_at
378	ORC3	210028_s_at
379	RFC2	1053_at
381	DHTKD1	209916_at
382	RMI1	218979_at
