V1	probe_id
283	DUSP6	208891_at
284	GRN	200678_x_at
285	TMCC1	213349_at
286	LRP12	219631_at
287	STRA6	221701_s_at
288	CACNA1G	207869_s_at
290	RAB15	221810_at
291	SCARA3	219416_at
292	P2RY2	206277_at
293	KDSR	202419_at
294	SHC1	201469_s_at
295	PRRG1	205618_at
296	ARL6IP5	200760_s_at
298	FOSL2	205409_at
299	GFPT1	202721_s_at
300	PGAP6	221882_s_at
301	PLAAT3	209581_at
302	CHST3	208252_s_at
303	CD151	204306_s_at
304	CMPK1	217870_s_at
305	S100A10	200872_at
306	EVPL	204503_at
307	NEDD4	213012_at
309	SLC25A37	218136_s_at
311	RNF13	201779_s_at
313	PRKX	204060_s_at
314	HSPG2	201654_s_at
315	TFPI	209676_at
316	HOXB6	205365_at
317	ENC1	201340_s_at
318	GIPC1	207525_s_at
319	FUT8	203988_s_at
320	MAGEH1	218573_at
321	TPD52L1	203786_s_at
323	LRPAP1	201186_at
325	SERPINB1	212268_at
326	LRP1	200784_s_at
327	FHL2	202949_s_at
328	BHLHE40	201169_s_at
329	MAPRE3	203841_x_at
331	ATP8B1	214594_x_at
332	SLC17A5	221041_s_at
333	IL18	206295_at
334	PGBD5	215056_at
335	NEU1	208926_at
336	C1R	212067_s_at
338	SLC12A7	218066_at
339	TIGAR	219099_at
340	KANK1	213005_s_at
341	STAT3	208991_at
342	DOCK10	215151_at
343	PLSCR4	218901_at
344	SREBF1	202308_at
345	DHRS7	201789_at
346	SLCO3A1	210542_s_at
347	IQSEC2	214819_at
348	PLEKHB2	201410_at
350	ATXN1	203231_s_at
351	IL1RAP	205227_at
352	HSD17B10	202282_at
353	YIPF2	219075_at
354	MATN2	202350_s_at
355	TSC22D4	208104_s_at
356	KDM4A	203204_s_at
357	ZNF780B	214899_at
358	CBLB	208348_s_at
360	AEN	219361_s_at
362	AACS	218434_s_at
363	CLCN6	203950_s_at
364	APOBEC3C	209584_x_at
367	MSN	200600_at
368	CASK	207620_s_at
370	AREL1	202128_at
373	PIP5K1C	212518_at
374	RAB40B	204547_at
375	COL6A1	212091_s_at
377	EFCAB14	201775_s_at
378	ASAH1	210979_at
379	LY6E	202145_at
380	HGD	205221_at
382	VTN	204534_at
383	ANKRD46	212731_at
385	TSPAN9	205665_at
386	MYH15	215331_at
387	FDFT1	208647_at
388	OPTN	202073_at
391	BET1L	220470_at
392	MAPK6	207121_s_at
393	PARD3	210094_s_at
395	SPG7	202104_s_at
396	FBXO41	221945_at
397	SCN9A	206950_at
398	PDIA5	203857_s_at
400	SLC35A2	207439_s_at
401	SYT1	203998_s_at
402	PTHLH	206300_s_at
403	ATP6V0D1	212041_at
404	PLCB4	203895_at
405	COQ10B	219397_at
406	UPK3B	206658_at
407	EPHA2	203499_at
408	APOL2	221013_s_at
409	FXYD5	217655_at
410	PDGFC	218718_at
411	PHLPP2	213407_at
412	ELOVL6	204256_at
413	L1CAM	204584_at
414	NT5E	203939_at
415	LYRM1	203897_at
416	ZBTB7A	213299_at
418	SLC31A1	203971_at
421	DLGAP4	202570_s_at
423	STK10	203047_at
426	SH3BGRL3	221269_s_at
427	DNASE1L1	203912_s_at
428	STK17A	202693_s_at
430	CDK14	204604_at
431	ST6GALNAC4	220937_s_at
432	RNF24	204668_at
433	TMEM184B	202027_at
434	DESI1	212527_at
435	NPC1	202679_at
436	STS	203767_s_at
437	GDF11	216854_at
438	SLC7A7	204588_s_at
439	ZMAT3	219628_at
440	ACHE	205377_s_at
442	RTL8C	201828_x_at
443	INPP4B	205376_at
444	ATP7B	204624_at
445	MFAP3L	205442_at
447	STX6	212799_at
449	ACACA	212186_at
450	ABCC5	209380_s_at
452	TSPYL2	218012_at
453	MUC3A	217054_at
454	LIMK1	204356_at
455	MLXIP	202519_at
457	STEAP1	205542_at
458	DDA1	218260_at
459	AHNAK2	212992_at
461	TCEAL9	217975_at
462	GFRA1	205696_s_at
464	ABCA3	204343_at
465	S100A3	206027_at
466	CBR4	213626_at
467	MFSD1	218109_s_at
469	DENND5B	215058_at
470	YPEL5	217783_s_at
471	SPATA2	204433_s_at
474	LYST	203518_at
477	OSBPL2	209221_s_at
478	MEST	202016_at
479	SLC27A2	205768_s_at
480	APIP	218698_at
481	PDE7B	220343_at
482	SLC12A4	209400_at
485	DGKA	203385_at
487	AP5Z1	209912_s_at
489	CYBA	203028_s_at
490	SEMA3E	206941_x_at
493	BCL6	203140_at
494	ZNF587	219981_x_at
495	ARFGAP1	217888_s_at
496	VPS53	219794_at
498	ZNF706	218059_at
499	RAP2A	214103_s_at
500	DPYSL4	205492_s_at
501	NDRG4	209159_s_at
503	LRIF1	220235_s_at
504	MVD	203027_s_at
505	TP53I11	203421_at
507	MAN2B1	209166_s_at
509	MN1	205330_at
510	HMOX1	203665_at
511	ERCC2	213468_at
512	FDXR	207813_s_at
514	KCNK1	204678_s_at
517	IL15	205992_s_at
519	PNPO	218511_s_at
520	MCOLN3	220484_at
522	EPS8	202609_at
523	PDLIM1	208690_s_at
524	DDAH1	209094_at
525	TOLLIP	217930_s_at
526	RP2	205191_at
528	OGFRL1	219582_at
529	BNC2	220272_at
530	USF2	202152_x_at
531	SREK1IP1	217608_at
532	RHBDF1	218686_s_at
533	FBN1	202765_s_at
534	GRIN2D	207036_x_at
535	UBL3	201534_s_at
536	SLC38A7	218727_at
537	HAGH	205012_s_at
540	TGM2	201042_at
541	RIT1	209882_at
542	PVT1	216240_at
543	EMC9	219203_at
544	SCPEP1	218217_at
545	TMF1	213024_at
547	CAPRIN2	218456_at
548	ACOT13	204565_at
550	TAF13	205966_at
552	SERPINB8	206034_at
554	STN1	219100_at
555	BTD	204167_at
556	IGF2R	201392_s_at
557	CTSD	200766_at
558	STX1A	204729_s_at
560	PTK2B	203110_at
561	FLG	215704_at
562	RBMS2	205228_at
563	TRAF3IP1	214458_at
564	DLG5	201681_s_at
565	OPN3	219032_x_at
567	CPNE7	219707_at
568	NPY4R	210956_at
569	PDGFB	204200_s_at
570	BAZ2A	201353_s_at
571	ABLIM3	205730_s_at
572	COQ8B	220434_at
573	SNN	218032_at
576	TEP1	205727_at
577	RPS6KA6	220737_at
578	USP49	220667_at
579	ASAP1	221039_s_at
583	UBTD1	219172_at
584	HMOX2	218120_s_at
585	ZNF302	218490_s_at
587	MOSPD1	218853_s_at
588	TMBIM4	219206_x_at
590	PRKD2	209282_at
591	HSPA4L	205543_at
592	SPRY4	220983_s_at
593	ITPKC	213076_at
595	RHOF	219045_at
596	CRIP2	208978_at
598	LUM	201744_s_at
600	CUL7	203558_at
605	MAPK12	206106_at
607	CKB	200884_at
608	HRH1	205579_at
609	ATG9A	202492_at
610	ARHGEF9	203263_s_at
611	UNC119	203271_s_at
612	SLC16A3	202855_s_at
613	ARL15	219842_at
614	TBKBP1	205424_at
615	TRAFD1	202837_at
621	PPARG	208510_s_at
622	ACBD4	219413_at
623	RABGGTA	203573_s_at
626	FANCF	218689_at
628	HECW1	210331_at
629	CALCOCO1	209002_s_at
630	CPTP	220734_s_at
631	FBXL2	214436_at
632	ZNF274	204937_s_at
633	TSPAN31	203226_s_at
634	ADAM12	202952_s_at
635	ETV5	203348_s_at
636	KLHL24	206551_x_at
637	RETREG1	213662_at
640	CAPG	201850_at
641	CFH	213800_at
642	CREB3L2	212345_s_at
643	SELENOW	201194_at
644	NIPAL3	210267_at
645	POFUT2	207448_at
646	WIPI1	203827_at
647	AHNAK	211986_at
648	ZNF264	205917_at
649	RAB3B	205924_at
